label,text
spam,"Subject: You Have Unclaimed Inheritance Money! Dear Beneficiary, We are the legal representatives of your late relative who left an unclaimed inheritance of $4.5 million. Contact us to claim your money."
spam,"Subject: Free Crypto - Claim 1 Bitcoin Now! Elon Musk is giving away free Bitcoin! Visit our website to claim your free cryptocurrency. This is a limited time giveaway. Hurry before time runs out!"
spam,"Subject: Your Computer Has A Virus! WARNING! Our systems detected a dangerous virus on your computer. Call our toll-free number immediately for free technical support. Microsoft certified technicians available 24/7."
spam,"Subject: Congratulations! You're Our 1,000,000th Visitor! You have been selected as our one millionth visitor and won an exclusive prize. Click here to claim your reward. You have 10 minutes to respond!"
spam,"Subject: Cheap Medication - No Prescription Needed! Buy Viagra, Cialis, Ambien and more without a prescription! Lowest prices guaranteed. Discreet shipping. No prescription required. Order online today!"
spam,"Subject: Investment Opportunity - 300% Returns Guaranteed! Exclusive investment program guarantees 300% returns in 30 days. Trusted by thousands of investors worldwide. Minimum investment $500. Join now and double your money!"
spam,"Subject: Your Netflix Account Is Suspended! Dear Customer, Your Netflix account has been suspended due to billing issues. Update your payment information immediately to avoid permanent account deletion."
spam,"Subject: Hot Deal Alert - Win Big Today! You have been specially selected for our VIP prize draw. Claim your bonus now. Special offer for loyal customers. Click to reveal your exclusive reward!"
spam,"Subject: Get Rich Quick - Proven System Works! Discover the secret system that made thousands of people millionaires. Work just 2 hours per day from home. Complete financial freedom guaranteed. Join today!"
spam,"Subject: Free Gift Card - Amazon $500 Voucher! Congratulations! You have been selected to receive a $500 Amazon gift card. Complete a short survey to claim your reward. Only 100 vouchers available!"
spam,"Subject: Miracle Weight Loss Pill - As Seen On TV! Lose 20 pounds in just 10 days with our miracle weight loss supplement. Clinically proven formula. No diet. No exercise. Order now get 2 bottles free!"
spam,"Subject: Alert - Unauthorized Access To Your Account! We detected an unauthorized login attempt to your account from an unknown device. Verify your account immediately to prevent unauthorized access."
spam,"Subject: You Have Won The Online Lottery! Dear Lucky Winner, Your email was randomly selected in our online lottery. You have won the first prize of $750,000 USD. Contact us to claim your winnings."
spam,"Subject: Exclusive Business Opportunity - Be Your Own Boss! Looking for financial freedom? Join our exclusive business network. Earn unlimited income. Work from anywhere. Be your own boss. Free registration today!"
spam,"Subject: URGENT: Update Your Payment Information Your subscription will be cancelled unless you update your payment information immediately. Click here to update your billing details and continue enjoying our service."
spam,"Subject: Special Promotion - Claim Your Free Trial! You have been exclusively selected for our premium membership free trial. No credit card required. Access all features free for 30 days. Register now!"
spam,"Subject: Debt Consolidation - Zero Interest! Are you drowning in debt? Our debt consolidation program can help. Zero interest for 12 months. Get approved in minutes. Bad credit accepted. Call now!"
spam,"Subject: Win $10,000 Cash Prize Today! Enter our online contest and win $10,000 cash prize. Drawing happens every hour. Free entry. No purchase necessary. Click to enter and try your luck!"
spam,"Subject: Your Inheritance Is Waiting! A wealthy relative has left you a substantial inheritance. We are trying to reach you urgently. Contact us immediately with your full name and address to claim."
spam,"Subject: Free Money - Government Grants Available! Did you know the government is giving away free money? You may qualify for thousands in grants. No repayment required. Check your eligibility now. Free consultation!"
spam,"Subject: Increase Your Income By 500%! Our proven investment strategy will increase your income by 500% in 90 days. Risk free. Money back guarantee. Over 50,000 satisfied customers. Start today with just $100!"
spam,"Subject: You Have A Pending Payment! A payment of $2,500 is pending in your account. Verify your identity to receive your funds. This payment will expire in 48 hours if not claimed."
spam,"Subject: Exclusive Members Only Offer! As an exclusive member you qualify for special offers not available to the public. Claim your exclusive benefits now. Free gifts included. Limited time offer!"
spam,"Subject: Boost Your Credit Score Instantly! Repair your credit score overnight. Our proven system guarantees a 200 point increase in 30 days. Bankruptcy and late payments removed. Call today for free consultation!"
spam,"Subject: FREE Samples - Limited Time Offer! We are giving away free product samples to selected customers. No cost to you. Just pay shipping. Claim your free samples now before they run out!"
spam,"Subject: Breaking News - You Have Been Selected! Breaking news! You have been randomly selected to receive our exclusive reward package worth $5,000. Claim your prize by clicking the link. Time sensitive!"
spam,"Subject: Easy Money Online - Start Today! Start earning real money online today. No experience needed. No investment required. Our members earn average $500 per day. Join our community for free now!"
spam,"Subject: Your Amazon Package Is Pending Delivery! Your Amazon package could not be delivered due to incomplete address. Update your delivery information now to receive your package. Click here to resolve."
spam,"Subject: Exclusive Health Supplement - 70% Off! Revolutionary health supplement used by celebrities. 70% discount for new customers. Boost energy, lose weight, look younger. Order now with free shipping!"
spam,"Subject: Claim Your Cashback Reward! You have $245 cashback waiting to be claimed. This reward expires in 24 hours. Click here to claim your cashback now. No conditions apply!"
spam,"Subject: Work From Home - $1000 Per Day! Work from home and earn $1000 per day guaranteed. Simple tasks. Flexible hours. No experience needed. Join 100,000 members already earning. Sign up free!"
spam,"Subject: Your Social Security Number Has Been Suspended! Your Social Security number has been suspended due to suspicious activity. Call our helpline immediately to prevent arrest and legal action."
spam,"Subject: Exclusive Investment Platform - 100% Safe Returns! Join our exclusive investment platform. 100% safe returns guaranteed. Withdraw anytime. Minimum investment $200. Trusted by 500,000 investors worldwide!"
spam,"Subject: Free iPhone Giveaway - Enter Now! Apple is giving away 1000 iPhones to celebrate their anniversary. Enter your email to win a free iPhone 15. Winner announced daily. Enter now!"
spam,"Subject: You Are Pre-Selected For A Credit Card! You are pre-selected for our platinum credit card with $25,000 limit. No annual fee. 0% interest for 18 months. Apply now and get approved in 60 seconds!"
spam,"Subject: Pharmacy Online - Best Prices! Save up to 80% on prescription medications. Order online without a prescription. Worldwide shipping available. Confidential service. Best prices guaranteed!"
spam,"Subject: Money Transfer Notification - $8,500 A money transfer of $8,500 has been initiated to your account. Click the link to confirm receipt and complete the verification process."
spam,"Subject: WINNER! You've Been Selected For Prize! Your name has been selected as a lucky winner. Claim your exclusive prize immediately. This is not spam. You have genuinely won. Hurry, claim now!"
ham,"Subject: Team Meeting Tomorrow Hi everyone, just a reminder that we have our weekly team meeting tomorrow at 10 AM in Conference Room B. Please come prepared with your project updates. See you all there!"
ham,"Subject: Project Update - Q4 Report Hi Sarah, I've attached the Q4 financial report as requested. Please review it before Thursday's board meeting. Let me know if you have any questions or need clarifications."
ham,"Subject: Lunch Plans? Hey Mike, are you free for lunch today? Thinking about trying that new Italian place around the corner. Let me know if you can make it around 12:30."
ham,"Subject: Your Amazon Order Has Shipped! Your order #302-8473920-1234567 has shipped and is on its way. Expected delivery: Tuesday, December 19. Track your package using the link below."
ham,"Subject: Password Reset Request Hi, you recently requested to reset your password for your account. Click the secure link below to create a new password. This link expires in 24 hours."
ham,"Subject: Newsletter - December Tech Digest Welcome to our monthly technology newsletter. This month we cover AI advancements, cybersecurity updates, and the latest software releases. Happy reading!"
ham,"Subject: Invoice #2024-1205 Attached Please find attached invoice #2024-1205 for services rendered in November 2024. Payment is due by December 31, 2024. Please contact our billing department for any questions."
ham,"Subject: Appointment Reminder - Dr. Smith This is a reminder that you have an appointment with Dr. Smith on December 20 at 2:00 PM. Please arrive 15 minutes early to complete paperwork."
ham,"Subject: GitHub - New Pull Request Notification A new pull request has been submitted to your repository 'web-app-v2' by contributor john_dev. Title: Fix authentication bug on login page. Please review when convenient."
ham,"Subject: Book Club Meeting - This Friday Dear book club members, our next meeting is this Friday at 7 PM at Emma's place. We'll be discussing chapters 12-20 of 'The Midnight Library'. Looking forward to seeing everyone!"
ham,"Subject: Job Application Confirmation Thank you for applying for the Software Engineer position at TechCorp. We have received your application and will review it carefully. We'll contact you within 2 weeks regarding next steps."
ham,"Subject: Flight Confirmation - Booking ref: ABC123 Your flight booking is confirmed. Flight AA123 from New York (JFK) to Los Angeles (LAX) on December 25, 2024 at 8:30 AM. Check-in opens 24 hours before departure."
ham,"Subject: Welcome To Our Service! Welcome aboard! Your account has been successfully created. Your username is john.doe@email.com. You can now access all features of our platform. Get started by completing your profile."
ham,"Subject: Quarterly Performance Review Hi John, your quarterly performance review is scheduled for December 22 at 3 PM with your manager. Please review your self-assessment form attached and bring it to the meeting."
ham,"Subject: New Blog Post: Top 10 Programming Languages 2024 We just published a new article on our tech blog: 'Top 10 Programming Languages to Learn in 2024'. Click the link to read the full article and share with colleagues."
ham,"Subject: Happy Birthday! Wishing you a very happy birthday! Hope your day is filled with joy and celebration. The whole team wanted to send you warm wishes on your special day. Enjoy!"
ham,"Subject: Course Enrollment Confirmation Congratulations! You are now enrolled in 'Introduction to Machine Learning'. Your first class begins January 8, 2025 at 6 PM EST. Course materials will be available one week before."
ham,"Subject: Weekly Status Report Hi Team, please find this week's status report attached. Key highlights: Project Alpha is 80% complete, Project Beta launch is on track for next week. Review and let me know thoughts."
ham,"Subject: Your Support Ticket Has Been Resolved Hi there, we wanted to let you know that your support ticket #4521 has been resolved. If you're still experiencing issues please reply to this email. Thank you for your patience."
ham,"Subject: Invitation - Annual Company Dinner You are cordially invited to our Annual Company Dinner on December 23, 2024 at The Grand Hotel. Dinner starts at 7 PM. RSVP by December 15. Partners are welcome."
ham,"Subject: Code Review Request Hi Team, I've pushed my changes to the feature branch and would love a code review before merging to main. Branch: feature/user-authentication. PR link in the attachment."
ham,"Subject: Monthly Bank Statement Your bank statement for November 2024 is now available. Log in to your secure online banking portal to view your statement. Total transactions: 42. Available balance: $3,450.22"
ham,"Subject: Study Group Session This Thursday Hi everyone, study group session for the Data Structures exam is confirmed for Thursday at 5 PM in the library (Room 204). Bring your notes and practice problems. See you there!"
ham,"Subject: Package Delivery Attempt We attempted to deliver your package today but there was no one available. Your package is now at the local post office. Please collect it within 5 working days with your ID."
ham,"Subject: Meeting Notes - Monday's Standup Hi all, here are the notes from Monday's standup meeting. Action items assigned to each team member are highlighted. Please complete your tasks before Wednesday's check-in."
ham,"Subject: Conference Registration Confirmed Your registration for the 'International AI Conference 2025' has been confirmed. Conference dates: March 15-17, 2025. Your badge and schedule will be sent closer to the event."
ham,"Subject: Feedback Request - Recent Purchase Thank you for your recent purchase! We'd love to hear about your experience. Please take 2 minutes to complete our feedback survey. Your opinion helps us improve our service."
ham,"Subject: Software Update Available A new update is available for your software (Version 4.2.1). This update includes security patches and performance improvements. Please update at your earliest convenience."
ham,"Subject: Team Building Event - Next Friday Hi team, we have an exciting team building event planned for next Friday afternoon. Activities include escape room and bowling. Details in the attached schedule. Looking forward to it!"
ham,"Subject: Internship Program Application We received your application for our summer internship program. Our HR team will review applications during the first week of January. Selected candidates will be invited for interviews."
ham,"Subject: Research Paper Feedback Dear Student, I have reviewed your research paper on machine learning applications. Your analysis is thorough and well-structured. A few minor revisions are needed - see attached comments."
ham,"Subject: Network Maintenance Notification Our IT team will be performing scheduled maintenance on the company network this Sunday from 2 AM to 6 AM. Please save your work and log off before midnight Saturday."
ham,"Subject: New Employee Introduction Please join me in welcoming our new team member, Jennifer Martinez, who joins us as a Senior Data Scientist. Jennifer brings 5 years of experience in NLP and computer vision. Welcome Jennifer!"
ham,"Subject: Project Proposal Review Hello, I have reviewed your project proposal for the Q1 marketing campaign. The strategy looks solid. Let's schedule a call this week to discuss the timeline and budget allocation in detail."
ham,"Subject: Annual Leave Request Approved Hi Michael, your annual leave request for December 24-31 has been approved. Please ensure your handover notes are completed before you leave. Enjoy your holiday!"
ham,"Subject: Library Book Due Date Reminder This is a reminder that the following books are due in 3 days: 'Clean Code' by Robert Martin and 'Design Patterns' by Gang of Four. You can renew online or return to the library."
ham,"Subject: Webinar Invitation - Data Science Best Practices You are invited to our free webinar on 'Data Science Best Practices in 2025'. Date: January 15, 2025, Time: 2 PM EST. Register using the link below. Limited seats available."
ham,"Subject: IT Security Training Reminder This is a reminder that mandatory IT security training is due by December 31. Please complete the online training module through the company learning portal. Duration: approximately 45 minutes."
ham,"Subject: Expense Report Approved Hi James, your expense report for the November business trip has been approved. The reimbursement of $1,245.50 will be processed in the next payroll cycle. Keep your receipts for records."
ham,"Subject: Congratulations On Your Promotion! Dear Emily, it is our great pleasure to congratulate you on your well-deserved promotion to Senior Manager. Your dedication and hard work have been outstanding. Best wishes in your new role!"
ham,"Subject: Project Beta - Go Live Confirmed Team, I am pleased to confirm that Project Beta will go live this Friday at 6 PM. All final testing has been completed. Please be on standby for any post-launch support needed."
ham,"Subject: Alumni Newsletter - Winter Edition Dear Alumni, welcome to the winter edition of our alumni newsletter. Featured stories include career spotlights, campus updates, and upcoming reunion events. We hope you enjoy!"
ham,"Subject: Subscription Renewal Reminder Your subscription to Adobe Creative Suite renews on January 1, 2025. Your card on file ending in 4521 will be charged $54.99. To make changes to your subscription, log in to your account."
ham,"Subject: Interview Invitation - Senior Developer Role Dear Candidate, we are pleased to invite you for an interview for the Senior Software Developer position. Date: December 21 at 10 AM. Location: 123 Tech Street, Floor 5."
ham,"Subject: Homework Assignment - Due Friday Hi class, please complete Chapter 7 exercises 1-15 and write a 500-word reflection on the reading. Assignment is due Friday by 11:59 PM through the course portal. Office hours Wednesday 3-5 PM."
ham,"Subject: Customer Survey - Help Us Improve We value your feedback! Please take a moment to complete our brief satisfaction survey about your recent interaction with our customer service team. Survey takes less than 5 minutes."
ham,"Subject: Team Lunch - Thursday At Noon Hi everyone! We're organizing a team lunch this Thursday at noon. We'll be going to the new Japanese restaurant on 5th Avenue. Please RSVP so we can make the reservation. Hope to see everyone!"
ham,"Subject: Code Deployment Notice The deployment of version 2.4.0 to the production environment is scheduled for Saturday, December 21 at 2 AM. Downtime is expected to be 30 minutes. The changelog is attached."
ham,"Subject: Performance Review Self-Assessment Due Hi, as a reminder, your self-assessment for the annual performance review is due by December 20. Please complete the form in the HR portal. Your manager will review it in your one-on-one."
ham,"Subject: Student Visa Application Update Dear Applicant, your student visa application has been received and is currently under review. Processing time is approximately 8-12 weeks. You will be notified by email once a decision is made."
ham,"Subject: Recipe Share - Holiday Cookies! Hey friends! I made those holiday sugar cookies you all loved last year. Attaching my recipe below. Let me know how yours turn out! Can't wait to see everyone at the holiday party."
ham,"Subject: Gym Membership Renewal Your annual gym membership expires on December 31. Renew now to lock in the current rate of $45/month. Online renewal is quick and easy. Members who renew early get a free personal training session."
ham,"Subject: Security Alert - New Login Detected We noticed a new sign-in to your account from Chrome on Windows in New York. If this was you, no action is needed. If you don't recognize this activity, please secure your account."
ham,"Subject: Cloud Storage Warning - 85% Full Your cloud storage is 85% full. You currently have 1.5 GB of 10 GB used. Consider upgrading your storage plan or deleting old files to free up space. Manage your storage here."
